#srch1
CSM1DC-001	妙蛙种子 bulbasaur pokemon g basic csm1dc a  草  飞叶快刀 30\n\n\n 飞叶快刀 gc 30
CSV8C-215	厄诡椪 火灶面具ex hearthflame mask ogerpon ex pokemon ex r basic csv8c h  火  愤怒火灶 20×\n造成这只宝可梦身上放置的伤害指示物数量×20伤害 \n\n 火  火  火  强劲烈焰 140+\n如果对手的战斗宝可梦为进化宝可梦的话 则追加造成140伤害 在这种情况下 将这只宝可梦身上附着的能量 全部放于弃牌区 \n\n 愤怒火灶 rcc 20× 造成这只宝可梦身上放置的伤害指示物数量×20伤害  强劲烈焰 rrr 140+ 如果对手的战斗宝可梦为进化宝可梦的话 则追加造成140伤害 在这种情况下 将这只宝可梦身上附着的能量 全部放于弃牌区 
CSV8C-243	厄诡椪 火灶面具ex hearthflame mask ogerpon ex pokemon ex r basic csv8c h  火  愤怒火灶 20×\n造成这只宝可梦身上放置的伤害指示物数量×20伤害 \n\n 火  火  火  强劲烈焰 140+\n如果对手的战斗宝可梦为进化宝可梦的话 则追加造成140伤害 在这种情况下 将这只宝可梦身上附着的能量 全部放于弃牌区 \n\n 愤怒火灶 rcc 20× 造成这只宝可梦身上放置的伤害指示物数量×20伤害  强劲烈焰 rrr 140+ 如果对手的战斗宝可梦为进化宝可梦的话 则追加造成140伤害 在这种情况下 将这只宝可梦身上附着的能量 全部放于弃牌区 
CSV9.5C-029	厄诡椪 火灶面具ex hearthflame mask ogerpon ex pokemon ex r basic csv9 5c h  火  愤怒火灶 20×\n造成这只宝可梦身上放置的伤害指示物数量×20伤害 \n\n 火  火  火  强劲烈焰 140+\n如果对手的战斗宝可梦为进化宝可梦的话 则追加造成140伤害 在这种情况下 将这只宝可梦身上附着的能量 全部放于弃牌区 \n\n 愤怒火灶 rcc 20× 造成这只宝可梦身上放置的伤害指示物数量×20伤害  强劲烈焰 rrr 140+ 如果对手的战斗宝可梦为进化宝可梦的话 则追加造成140伤害 在这种情况下 将这只宝可梦身上附着的能量 全部放于弃牌区 
CSV9.5C-225	厄诡椪 火灶面具ex hearthflame mask ogerpon ex pokemon ex r basic csv9 5c h  火  愤怒火灶 20×\n造成这只宝可梦身上放置的伤害指示物数量×20伤害 \n\n 火  火  火  强劲烈焰 140+\n如果对手的战斗宝可梦为进化宝可梦的话 则追加造成140伤害 在这种情况下 将这只宝可梦身上附着的能量 全部放于弃牌区 \n\n 愤怒火灶 rcc 20× 造成这只宝可梦身上放置的伤害指示物数量×20伤害  强劲烈焰 rrr 140+ 如果对手的战斗宝可梦为进化宝可梦的话 则追加造成140伤害 在这种情况下 将这只宝可梦身上附着的能量 全部放于弃牌区 
CSVNC-013	厄诡椪 火灶面具ex hearthflame mask ogerpon ex pokemon r basic csvnc h  火  愤怒火灶 20×\n造成这只宝可梦身上放置的伤害指示物数量×20伤害 \n\n 火  火  火  强劲烈焰 140+\n如果对手的战斗宝可梦为进化宝可梦的话 则追加造成140伤害 在这种情况下 将这只宝可梦身上附着的能量 全部放于弃牌区 \n\n 愤怒火灶 rcc 20× 造成这只宝可梦身上放置的伤害指示物数量×20伤害  强劲烈焰 rrr 140+ 如果对手的战斗宝可梦为进化宝可梦的话 则追加造成140伤害 在这种情况下 将这只宝可梦身上附着的能量 全部放于弃牌区 
CSVNC-023	厄诡椪 础石面具 cornerstone mask ogerpon pokemon f basic csvnc i  石之神乐 \n选择自己牌库中1张 基本 斗 能量  附着于自己的宝可梦身上 并重洗牌库 \n\n 斗  斗  推山 100\n将对手牌库上方1张卡牌放于弃牌区 \n\n 石之神乐 c 选择自己牌库中1张 基本 斗 能量  附着于自己的宝可梦身上 并重洗牌库  推山 ffc 100 将对手牌库上方1张卡牌放于弃牌区 
CSV8C-121	厄诡椪 础石面具ex cornerstone mask ogerpon ex pokemon ex f basic csv8c h 特性  础石之姿\n这只宝可梦 不受到对手拥有特性的宝可梦的招式的伤害 \n\n 斗  打爆 140\n这个招式的伤害 不计算弱点 抗性以及对手战斗宝可梦身上所附加的效果 \n\n 打爆 fcc 140 这个招式的伤害 不计算弱点 抗性以及对手战斗宝可梦身上所附加的效果  础石之姿 这只宝可梦 不受到对手拥有特性的宝可梦的招式的伤害 
CSV8C-223	厄诡椪 础石面具ex cornerstone mask ogerpon ex pokemon ex f basic csv8c h 特性  础石之姿\n这只宝可梦 不受到对手拥有特性的宝可梦的招式的伤害 \n\n 斗  打爆 140\n这个招式的伤害 不计算弱点 抗性以及对手战斗宝可梦身上所附加的效果 \n\n 打爆 fcc 140 这个招式的伤害 不计算弱点 抗性以及对手战斗宝可梦身上所附加的效果  础石之姿 这只宝可梦 不受到对手拥有特性的宝可梦的招式的伤害 
CSV8C-246	厄诡椪 础石面具ex cornerstone mask ogerpon ex pokemon ex f basic csv8c h 特性  础石之姿\n这只宝可梦 不受到对手拥有特性的宝可梦的招式的伤害 \n\n 斗  打爆 140\n这个招式的伤害 不计算弱点 抗性以及对手战斗宝可梦身上所附加的效果 \n\n 打爆 fcc 140 这个招式的伤害 不计算弱点 抗性以及对手战斗宝可梦身上所附加的效果  础石之姿 这只宝可梦 不受到对手拥有特性的宝可梦的招式的伤害 
CSV9.5C-102	厄诡椪 础石面具ex cornerstone mask ogerpon ex pokemon ex f basic csv9 5c h 特性  础石之姿\n这只宝可梦 不受到对手拥有特性的宝可梦的招式的伤害 \n\n 斗  打爆 140\n这个招式的伤害 不计算弱点 抗性以及对手战斗宝可梦身上所附加的效果 \n\n 打爆 fcc 140 这个招式的伤害 不计算弱点 抗性以及对手战斗宝可梦身上所附加的效果  础石之姿 这只宝可梦 不受到对手拥有特性的宝可梦的招式的伤害 
CSV9.5C-238	厄诡椪 础石面具ex cornerstone mask ogerpon ex pokemon ex f basic csv9 5c h 特性  础石之姿\n这只宝可梦 不受到对手拥有特性的宝可梦的招式的伤害 \n\n 斗  打爆 140\n这个招式的伤害 不计算弱点 抗性以及对手战斗宝可梦身上所附加的效果 \n\n 打爆 fcc 140 这个招式的伤害 不计算弱点 抗性以及对手战斗宝可梦身上所附加的效果  础石之姿 这只宝可梦 不受到对手拥有特性的宝可梦的招式的伤害 
CSVNC-024	厄诡椪 础石面具ex cornerstone mask ogerpon ex pokemon f basic csvnc h 特性  础石之姿\n这只宝可梦 不受到对手拥有特性的宝可梦的招式的伤害 \n\n 斗  打爆 140\n这个招式的伤害 不计算弱点 抗性以及对手战斗宝可梦身上所附加的效果 \n\n 打爆 fcc 140 这个招式的伤害 不计算弱点 抗性以及对手战斗宝可梦身上所附加的效果  础石之姿 这只宝可梦 不受到对手拥有特性的宝可梦的招式的伤害 
CSV8C-027	厄诡椪 碧草面具 teal mask ogerpon pokemon g basic csv8c h  山中漫步 \n选择自己牌库中最多2张基本能量 在给对手看过之后 加入手牌 并重洗牌库 \n\n 草  鬼返 20+\n追加造成对手备战宝可梦数量×20伤害 \n\n 山中漫步 c 选择自己牌库中最多2张基本能量 在给对手看过之后 加入手牌 并重洗牌库  鬼返 gc 20+ 追加造成对手备战宝可梦数量×20伤害 
CSVH4C-004	厄诡椪 碧草面具 teal mask ogerpon pokemon g basic csvh4c h  山中漫步 \n选择自己牌库中最多2张基本能量 在给对手看过之后 加入手牌 并重洗牌库 \n\n 草  鬼返 20+\n追加造成对手备战宝可梦数量×20伤害 \n\n 山中漫步 c 选择自己牌库中最多2张基本能量 在给对手看过之后 加入手牌 并重洗牌库  鬼返 gc 20+ 追加造成对手备战宝可梦数量×20伤害 
CSVNC-009	厄诡椪 碧草面具 teal mask ogerpon pokemon g basic csvnc h  山中漫步 \n选择自己牌库中最多2张基本能量 在给对手看过之后 加入手牌 并重洗牌库 \n\n 草  鬼返 20+\n追加造成对手备战宝可梦数量×20伤害 \n\n 山中漫步 c 选择自己牌库中最多2张基本能量 在给对手看过之后 加入手牌 并重洗牌库  鬼返 gc 20+ 追加造成对手备战宝可梦数量×20伤害 
CSVNC-041	厄诡椪 碧草面具 teal mask ogerpon pokemon g basic csvnc h  山中漫步 \n选择自己牌库中最多2张基本能量 在给对手看过之后 加入手牌 并重洗牌库 \n\n 草  鬼返 20+\n追加造成对手备战宝可梦数量×20伤害 \n\n 山中漫步 c 选择自己牌库中最多2张基本能量 在给对手看过之后 加入手牌 并重洗牌库  鬼返 gc 20+ 追加造成对手备战宝可梦数量×20伤害 
CSVH5C-003	厄诡椪 碧草面具 teal mask ogerpon pokemon g basic csvh5c i  无  草之神乐 \n选择自己牌库中的1张 基本 草 能量  附着于这只宝可梦身上 并重洗牌库 \n\n 草  草  无  厄诡重锤 120\n在下一个自己的回合 这只宝可梦无法使用 厄诡重锤  \n\n 草之神乐 c 选择自己牌库中的1张 基本 草 能量  附着于这只宝可梦身上 并重洗牌库  厄诡重锤 ggc 120 在下一个自己的回合 这只宝可梦无法使用 厄诡重锤  
CSVNC-010	厄诡椪 碧草面具 teal mask ogerpon pokemon g basic csvnc i  草之神乐 \n选择自己牌库中1张 基本 草 能量  附着于自己的宝可梦身上 并重洗牌库 \n\n 草  草  厄诡重锤 120\n在下一个自己的回合 这只宝可梦无法使用 厄诡重锤  \n\n 草之神乐 c 选择自己牌库中1张 基本 草 能量  附着于自己的宝可梦身上 并重洗牌库  厄诡重锤 ggc 120 在下一个自己的回合 这只宝可梦无法使用 厄诡重锤  
CSV8C-028	厄诡椪 碧草面具ex teal mask ogerpon ex pokemon ex g basic csv8c h 特性  碧草之舞\n在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 \n\n 草  草  草  万叶阵雨 30+\n追加造成双方战斗宝可梦身上附着的能量数量×30伤害 \n\n 万叶阵雨 ggg 30+ 追加造成双方战斗宝可梦身上附着的能量数量×30伤害  碧草之舞 在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 
CSV8C-214	厄诡椪 碧草面具ex teal mask ogerpon ex pokemon ex g basic csv8c h 特性  碧草之舞\n在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 \n\n 草  草  草  万叶阵雨 30+\n追加造成双方战斗宝可梦身上附着的能量数量×30伤害 \n\n 万叶阵雨 ggg 30+ 追加造成双方战斗宝可梦身上附着的能量数量×30伤害  碧草之舞 在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 
CSV8C-242	厄诡椪 碧草面具ex teal mask ogerpon ex pokemon ex g basic csv8c h 特性  碧草之舞\n在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 \n\n 草  草  草  万叶阵雨 30+\n追加造成双方战斗宝可梦身上附着的能量数量×30伤害 \n\n 万叶阵雨 ggg 30+ 追加造成双方战斗宝可梦身上附着的能量数量×30伤害  碧草之舞 在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 
CSV8C-256	厄诡椪 碧草面具ex teal mask ogerpon ex pokemon ex g basic csv8c h 特性  碧草之舞\n在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 \n\n 草  草  草  万叶阵雨 30+\n追加造成双方战斗宝可梦身上附着的能量数量×30伤害 \n\n 万叶阵雨 ggg 30+ 追加造成双方战斗宝可梦身上附着的能量数量×30伤害  碧草之舞 在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 
CSV9.5C-021	厄诡椪 碧草面具ex teal mask ogerpon ex pokemon ex g basic csv9 5c h 特性  碧草之舞\n在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 \n\n 草  草  草  万叶阵雨 30+\n追加造成双方战斗宝可梦身上附着的能量数量×30伤害 \n\n 万叶阵雨 ggg 30+ 追加造成双方战斗宝可梦身上附着的能量数量×30伤害  碧草之舞 在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 
CSV9.5C-222	厄诡椪 碧草面具ex teal mask ogerpon ex pokemon ex g basic csv9 5c h 特性  碧草之舞\n在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 \n\n 草  草  草  万叶阵雨 30+\n追加造成双方战斗宝可梦身上附着的能量数量×30伤害 \n\n 万叶阵雨 ggg 30+ 追加造成双方战斗宝可梦身上附着的能量数量×30伤害  碧草之舞 在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 
CSV9.5C-256	厄诡椪 碧草面具ex teal mask ogerpon ex pokemon ex g basic csv9 5c h 特性  碧草之舞\n在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 \n\n 草  草  草  万叶阵雨 30+\n追加造成双方战斗宝可梦身上附着的能量数量×30伤害 \n\n 万叶阵雨 ggg 30+ 追加造成双方战斗宝可梦身上附着的能量数量×30伤害  碧草之舞 在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 
CSVM2aC-001	厄诡椪 碧草面具ex teal mask ogerpon ex pokemon g basic csvm2ac h 特性  碧草之舞\n在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 \n\n 草  草  草  万叶阵雨 30+\n追加造成双方战斗宝可梦身上附着的能量数量×30伤害 \n\n 万叶阵雨 ggg 30+ 追加造成双方战斗宝可梦身上附着的能量数量×30伤害  碧草之舞 在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 
CSVNC-011	厄诡椪 碧草面具ex teal mask ogerpon ex pokemon g basic csvnc h 特性  碧草之舞\n在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 \n\n 草  草  草  万叶阵雨 30+\n追加造成双方战斗宝可梦身上附着的能量数量×30伤害 \n\n 万叶阵雨 ggg 30+ 追加造成双方战斗宝可梦身上附着的能量数量×30伤害  碧草之舞 在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 
CSVNC-043	厄诡椪 碧草面具ex teal mask ogerpon ex pokemon g basic csvnc h 特性  碧草之舞\n在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 \n\n 草  草  草  万叶阵雨 30+\n追加造成双方战斗宝可梦身上附着的能量数量×30伤害 \n\n 万叶阵雨 ggg 30+ 追加造成双方战斗宝可梦身上附着的能量数量×30伤害  碧草之舞 在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于这只宝可梦身上 然后 从自己牌库上方抽取1张卡牌 
CSV9.5C-127	铝钢桥龙 archaludon pokemon m stage 1 csv9 5c h 特性  钢之栈桥\n只要这只宝可梦在场上 身上附着了 钢 能量的自己所有宝可梦 撤退 所需能量 全部消除 \n\n 钢  钢  钢铁引爆 160\n在下一个自己的回合 这只宝可梦无法使用招式 \n\n 钢铁引爆 mmc 160 在下一个自己的回合 这只宝可梦无法使用招式  钢之栈桥 只要这只宝可梦在场上 身上附着了 钢 能量的自己所有宝可梦 撤退 所需能量 全部消除 
CSV9C-137	铝钢桥龙 archaludon pokemon m stage 1 csv9c h 特性  钢之栈桥\n只要这只宝可梦在场上 身上附着了 钢 能量的自己所有宝可梦 撤退 所需能量 全部消除 \n\n 钢  钢  钢铁引爆 160\n在下一个自己的回合 这只宝可梦无法使用招式 \n\n 钢铁引爆 mmc 160 在下一个自己的回合 这只宝可梦无法使用招式  钢之栈桥 只要这只宝可梦在场上 身上附着了 钢 能量的自己所有宝可梦 撤退 所需能量 全部消除 
CSV9C-213	铝钢桥龙 archaludon pokemon m stage 1 csv9c h 特性  钢之栈桥\n只要这只宝可梦在场上 身上附着了 钢 能量的自己所有宝可梦 撤退 所需能量 全部消除 \n\n 钢  钢  钢铁引爆 160\n在下一个自己的回合 这只宝可梦无法使用招式 \n\n 钢铁引爆 mmc 160 在下一个自己的回合 这只宝可梦无法使用招式  钢之栈桥 只要这只宝可梦在场上 身上附着了 钢 能量的自己所有宝可梦 撤退 所需能量 全部消除 
CSV9C-138	铝钢桥龙ex archaludon ex pokemon ex m stage 1 csv9c h 特性  合金建设\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己弃牌区中最多2张 基本 钢 能量  以任意方式附着于自己的 钢 宝可梦身上 \n\n 钢  钢  钢  金属防卫 220\n在下一个对手的回合 这只宝可梦的弱点 全部消除 \n\n 金属防卫 mmm 220 在下一个对手的回合 这只宝可梦的弱点 全部消除  合金建设 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己弃牌区中最多2张 基本 钢 能量  以任意方式附着于自己的 钢 宝可梦身上 
CSV9C-227	铝钢桥龙ex archaludon ex pokemon ex m stage 1 csv9c h 特性  合金建设\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己弃牌区中最多2张 基本 钢 能量  以任意方式附着于自己的 钢 宝可梦身上 \n\n 钢  钢  钢  金属防卫 220\n在下一个对手的回合 这只宝可梦的弱点 全部消除 \n\n 金属防卫 mmm 220 在下一个对手的回合 这只宝可梦的弱点 全部消除  合金建设 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己弃牌区中最多2张 基本 钢 能量  以任意方式附着于自己的 钢 宝可梦身上 
CSV9C-249	铝钢桥龙ex archaludon ex pokemon ex m stage 1 csv9c h 特性  合金建设\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己弃牌区中最多2张 基本 钢 能量  以任意方式附着于自己的 钢 宝可梦身上 \n\n 钢  钢  钢  金属防卫 220\n在下一个对手的回合 这只宝可梦的弱点 全部消除 \n\n 金属防卫 mmm 220 在下一个对手的回合 这只宝可梦的弱点 全部消除  合金建设 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 选择自己弃牌区中最多2张 基本 钢 能量  以任意方式附着于自己的 钢 宝可梦身上 
CSV10C-014	蜜集大蛇 pokemon g stage 2 csv10c i  草  大蛇吐息 \n将自己手牌中的6张 基本 草 能量 放于弃牌区 令对手的战斗宝可梦 昏厥  如果无法将6张放于弃牌区的话 则这个招式失败 \n\n 草  粉碎鞭打 140\n\n\n 大蛇吐息 g 将自己手牌中的6张 基本 草 能量 放于弃牌区 令对手的战斗宝可梦 昏厥  如果无法将6张放于弃牌区的话 则这个招式失败  粉碎鞭打 gcc 140
CSV9C-013	蜜集大蛇ex hydrapple ex pokemon ex g stage 2 csv9c h 特性  熟成充能\n在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于自己的宝可梦身上 然后 回复被附着能量的宝可梦 30 hp \n\n 蜜糖风暴 30+\n追加造成自己所有宝可梦身上附着的 草 能量数量×30伤害 \n\n 蜜糖风暴 cc 30+ 追加造成自己所有宝可梦身上附着的 草 能量数量×30伤害  熟成充能 在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于自己的宝可梦身上 然后 回复被附着能量的宝可梦 30 hp 
CSV9C-217	蜜集大蛇ex hydrapple ex pokemon ex g stage 2 csv9c h 特性  熟成充能\n在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于自己的宝可梦身上 然后 回复被附着能量的宝可梦 30 hp \n\n 蜜糖风暴 30+\n追加造成自己所有宝可梦身上附着的 草 能量数量×30伤害 \n\n 蜜糖风暴 cc 30+ 追加造成自己所有宝可梦身上附着的 草 能量数量×30伤害  熟成充能 在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于自己的宝可梦身上 然后 回复被附着能量的宝可梦 30 hp 
CSV9C-244	蜜集大蛇ex hydrapple ex pokemon ex g stage 2 csv9c h 特性  熟成充能\n在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于自己的宝可梦身上 然后 回复被附着能量的宝可梦 30 hp \n\n 蜜糖风暴 30+\n追加造成自己所有宝可梦身上附着的 草 能量数量×30伤害 \n\n 蜜糖风暴 cc 30+ 追加造成自己所有宝可梦身上附着的 草 能量数量×30伤害  熟成充能 在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于自己的宝可梦身上 然后 回复被附着能量的宝可梦 30 hp 
CSVNC-004	蜜集大蛇ex hydrapple ex pokemon ex g stage 2 csvnc h 特性  熟成充能\n在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于自己的宝可梦身上 然后 回复被附着能量的宝可梦 30 hp \n\n 蜜糖风暴 30+\n追加造成自己所有宝可梦身上附着的 草 能量数量×30伤害 \n\n 蜜糖风暴 cc 30+ 追加造成自己所有宝可梦身上附着的 草 能量数量×30伤害  熟成充能 在自己的回合可以使用1次 选择自己手牌中的1张 基本 草 能量  附着于自己的宝可梦身上 然后 回复被附着能量的宝可梦 30 hp 
CSV9C-036	破空焰 gouging fire pokemon  "ancient"  r basic csv9c h  火  撞倒 30\n\n\n 火  火  爆燃突击 100+\n如果对手的剩余奖赏卡张数在4张及以下的话 则追加造成70伤害 \n\n 撞倒 r 30 爆燃突击 rrc 100+ 如果对手的剩余奖赏卡张数在4张及以下的话 则追加造成70伤害 
CSVH4C-005	破空焰 gouging fire pokemon  "ancient"  r basic csvh4c h  火  撞倒 30\n\n\n 火  火  爆燃突击 100+\n如果对手的剩余奖赏卡张数在4张及以下的话 则追加造成70伤害 \n\n 撞倒 r 30 爆燃突击 rrc 100+ 如果对手的剩余奖赏卡张数在4张及以下的话 则追加造成70伤害 
CSV7C-051	破空焰ex gouging fire ex pokemon ex  "ancient"  r basic csv7c h  火  高温爆破 60\n\n\n 火  火  烈火猛冲 260\n如果使用了这个招式的话 则这只宝可梦 在离开战斗场之前无法使用 烈火猛冲  \n\n 高温爆破 rc 60 烈火猛冲 rrc 260 如果使用了这个招式的话 则这只宝可梦 在离开战斗场之前无法使用 烈火猛冲  
CSV7C-215	破空焰ex gouging fire ex pokemon ex  "ancient"  r basic csv7c h  火  高温爆破 60\n\n\n 火  火  烈火猛冲 260\n如果使用了这个招式的话 则这只宝可梦 在离开战斗场之前无法使用 烈火猛冲  \n\n 高温爆破 rc 60 烈火猛冲 rrc 260 如果使用了这个招式的话 则这只宝可梦 在离开战斗场之前无法使用 烈火猛冲  
CSV7C-238	破空焰ex gouging fire ex pokemon ex  "ancient"  r basic csv7c h  火  高温爆破 60\n\n\n 火  火  烈火猛冲 260\n如果使用了这个招式的话 则这只宝可梦 在离开战斗场之前无法使用 烈火猛冲  \n\n 高温爆破 rc 60 烈火猛冲 rrc 260 如果使用了这个招式的话 则这只宝可梦 在离开战斗场之前无法使用 烈火猛冲  
CSV7C-252	破空焰ex gouging fire ex pokemon ex  "ancient"  r basic csv7c h  火  高温爆破 60\n\n\n 火  火  烈火猛冲 260\n如果使用了这个招式的话 则这只宝可梦 在离开战斗场之前无法使用 烈火猛冲  \n\n 高温爆破 rc 60 烈火猛冲 rrc 260 如果使用了这个招式的话 则这只宝可梦 在离开战斗场之前无法使用 烈火猛冲  
CSV9.5C-030	破空焰ex gouging fire ex pokemon ex  "ancient"  r basic csv9 5c h  火  高温爆破 60\n\n\n 火  火  烈火猛冲 260\n如果使用了这个招式的话 则这只宝可梦 在离开战斗场之前无法使用 烈火猛冲  \n\n 高温爆破 rc 60 烈火猛冲 rrc 260 如果使用了这个招式的话 则这只宝可梦 在离开战斗场之前无法使用 烈火猛冲  
CSV8C-161	猛雷鼓 raging bolt pokemon  "ancient"  n basic csv8c h  雷  斗  落雷风暴 \n给对手的1只宝可梦 造成这只宝可梦身上附着的能量数量×30伤害  备战宝可梦不计算弱点 抗性  \n\n 雷  斗  龙之头击 130\n\n\n 落雷风暴 lf 给对手的1只宝可梦 造成这只宝可梦身上附着的能量数量×30伤害  备战宝可梦不计算弱点 抗性   龙之头击 lfc 130
CSVM2aC-007	猛雷鼓 raging bolt pokemon  "ancient"  n basic csvm2ac h  雷  斗  落雷风暴 \n给对手的1只宝可梦 造成这只宝可梦身上附着的能量数量×30伤害  备战宝可梦不计算弱点 抗性  \n\n 雷  斗  无  龙之头击 130\n\n\n 落雷风暴 lf 给对手的1只宝可梦 造成这只宝可梦身上附着的能量数量×30伤害  备战宝可梦不计算弱点 抗性   龙之头击 lfc 130
CSV7C-154	猛雷鼓ex raging bolt ex pokemon ex  "ancient"  n basic csv7c h  飞溅咆哮 \n将自己的手牌全部放于弃牌区 从牌库上方抽取6张卡牌 \n\n 雷  斗  极雷轰 70×\n将自己场上宝可梦身上附着的任意数量的基本能量放于弃牌区 造成其张数×70伤害 \n\n 飞溅咆哮 c 将自己的手牌全部放于弃牌区 从牌库上方抽取6张卡牌  极雷轰 lf 70× 将自己场上宝可梦身上附着的任意数量的基本能量放于弃牌区 造成其张数×70伤害 
CSV7C-227	猛雷鼓ex raging bolt ex pokemon ex  "ancient"  n basic csv7c h  飞溅咆哮 \n将自己的手牌全部放于弃牌区 从牌库上方抽取6张卡牌 \n\n 雷  斗  极雷轰 70×\n将自己场上宝可梦身上附着的任意数量的基本能量放于弃牌区 造成其张数×70伤害 \n\n 飞溅咆哮 c 将自己的手牌全部放于弃牌区 从牌库上方抽取6张卡牌  极雷轰 lf 70× 将自己场上宝可梦身上附着的任意数量的基本能量放于弃牌区 造成其张数×70伤害 
CSV7C-244	猛雷鼓ex raging bolt ex pokemon ex  "ancient"  n basic csv7c h  飞溅咆哮 \n将自己的手牌全部放于弃牌区 从牌库上方抽取6张卡牌 \n\n 雷  斗  极雷轰 70×\n将自己场上宝可梦身上附着的任意数量的基本能量放于弃牌区 造成其张数×70伤害 \n\n 飞溅咆哮 c 将自己的手牌全部放于弃牌区 从牌库上方抽取6张卡牌  极雷轰 lf 70× 将自己场上宝可梦身上附着的任意数量的基本能量放于弃牌区 造成其张数×70伤害 
CSV7C-256	猛雷鼓ex raging bolt ex pokemon ex  "ancient"  n basic csv7c h  飞溅咆哮 \n将自己的手牌全部放于弃牌区 从牌库上方抽取6张卡牌 \n\n 雷  斗  极雷轰 70×\n将自己场上宝可梦身上附着的任意数量的基本能量放于弃牌区 造成其张数×70伤害 \n\n 飞溅咆哮 c 将自己的手牌全部放于弃牌区 从牌库上方抽取6张卡牌  极雷轰 lf 70× 将自己场上宝可梦身上附着的任意数量的基本能量放于弃牌区 造成其张数×70伤害 
CSV9.5C-138	猛雷鼓ex raging bolt ex pokemon ex  "ancient"  n basic csv9 5c h  飞溅咆哮 \n将自己的手牌全部放于弃牌区 从牌库上方抽取6张卡牌 \n\n 雷  斗  极雷轰 70×\n将自己场上宝可梦身上附着的任意数量的基本能量放于弃牌区 造成其张数×70伤害 \n\n 飞溅咆哮 c 将自己的手牌全部放于弃牌区 从牌库上方抽取6张卡牌  极雷轰 lf 70× 将自己场上宝可梦身上附着的任意数量的基本能量放于弃牌区 造成其张数×70伤害 
